"URL","NOMBRE","DESCRIPCION"
"https://co.linkedin.com/jobs/view/dise%C3%B1ador-grafico-marketing-digital-at-tempolider-sas-1954268261?refId=a91ec99a-6095-4a56-aeb4-b6a636e667bd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Diseñador Grafico - marketing digital","Esta persona debe tener formacion en diseño grafico con enfoque en marketing digital. Esta persona debe ser joven con ganas de crecer. Estara a cargo de plataformas digitales actualizacion de productos de pagina web creacion de contenido manejo de marketplace mas grande de Colombia. creacion de contenido diseños de protafolios etc.Sueldo base $1.300.000 + Todas las prestaciones de ley.Mostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/dise%C3%B1ador-de-interiores-at-sandra-elizabeth-roa-linares-1954179554?refId=a91ec99a-6095-4a56-aeb4-b6a636e667bd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Diseñador de Interiores","DescripciónSomos una prestigiosa organización con más de cuatro décadas de trayectoria de Turismo en Europa especializada desde hace 25 años en Ecoturismo y Desarrollo Sostenible y con cooperación internacional nuestra misión es el desarrollo de la economía verde. Buscamos un(a) Diseñador de Interiores.Responsabilidades Realización del contrato con el cliente. Realización de planos si no los hay. Realización de perspectivas de cómo va a quedar el acabado final. Búsqueda de los diferentes materiales a mostrar al cliente. Realizar presupuesto de la obra.RequisitosEl profesional en Diseño de interiores deberá tener en cuenta conocimientos de estructuras revestimiento de espacios técnicas de instalaciones mobiliario gráfica digital costos y presupuestos. Buen manejo de técnicas de dibujo.Mostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/especialista-en-redes-sociales-at-sandra-elizabeth-roa-linares-1954179408?refId=a91ec99a-6095-4a56-aeb4-b6a636e667bd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Especialista en redes sociales","DescripciónSolicitamos para empresa especializada en Ecoturismo un(a) Especialista en RRSSr. Buscamos persona con perfil pro-activo con ganas de desarrollarse en el área realizando tareas generales vía remota con buena capacidad de comunicación que sepa trabajar en equipo todo el trabajo será desde la comodidad de su casa. Debe poseer teléfono inteligente y computadora con conexión a internet.Modalidad de contratación tipo freelance.Responsable en los procesos del área que incluyen entre otras: Conocer HTML marketing digital redes Google. Manejar herramientas de edición de contenidos gráficos (Photoshop ilustrator indesing premier) Poseer conocimiento en lenguaje HTMLS Javascript PHP CSS3 Poseer conocimiento herramientas de análisis: Google analytics Poseer conocimiento en diseño gráfico Poseer experiencia en implementanción de planes de marketing digital a empresas comerciales.RequisitosRequerimientos - Educación mínima: Terciaria - Años de experiencia: 2 - Conocimientos: Manejo de Redes Sociales Marketing y Paquete Office. - Disponibilidad de Viajar: No - Disponibilidad de cambio de residencia: NoMostrar másMostrar menos"
"https://co.linkedin.com/jobs/view/graphic-designer-animation-dise%C3%B1ador-gr%C3%A1fico-animador-at-aprende-institute-1954264608?refId=a91ec99a-6095-4a56-aeb4-b6a636e667bd&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click","Graphic Designer Animation / Diseñador Gráfico Animador","ESPAÑOL Como Diseñador Gráfico Animador para Aprende.com usted será responsable de la realización de vídeos motion graphics diseño de insumos gráficos y visuales diseño digital de materiales de apoyo maquetación retoque fotográfico.Nuestro objetivo es cambiar la vida de las personas convirtiendo su pasión en su carrera por lo que: ¡el fracaso no es una opción! Queremos que una persona extremadamente apasionada ayude a nuestro equipo experimentado a tener éxito en ese objetivo.Que harás  Diseño de elementos gráficos (banners iconos infografías materiales de apoyo) para cursos e-learning.   Creación gráfica y animación para productos audiovisuales   Diseño de GIFs animados   Retoque fotográfico y corrección de color   Realizar ajustes de tipo gráfico derivados del control de calidad y que se presenten durante el desarrollo de nuevos cursos y los ya existentes.   ENGLISH As a Graphic Designer for Aprende.com you will be responsible for the production of motion graphics videos graphic and visual input design digital design of support material layout photo retouching.Our goal is to change people's lives by turning their passion into their careers so: failure is not an option! We want an extremely passionate person to help our experienced team succeed in that goal.What you will be doing  Design of graphic elements (banners icons info-graphics support materials) for e-learning courses.   Graphic creation and animation for audiovisual products   Animated GIF design   Photo retouching and color correction   Make graphic adjustments derived from quality control  Requirements ESPAÑOL   Mínimo 1 año de experiencia como diseñador gráfico   Mínimo 1 año en edición de vídeo profesional   Manejo de la Suite Adobe en especial After effects Premiere Illustrator y Photoshop   Adobe Animate   Adobe Character Animator   Animación vectorial de personajes   Storytelling Visual   Armado de Boards   Rigging   Conocimiento y optimización de salidas para video GIFs java y HTML   Ideal: animación en 3D   Ideal Manejo de herramientas como Articulate – Rise   ENGLISH   Minimum 1 year of experience as a graphic designer   Minimum 1 year in professional video editing   Management of the Adobe Suite especially After effects Premiere Illustrator and Photoshop   Adobe Animate   Adobe Character Animator   Vector animation of characters   Visual Storytelling   Assembly of Boards   Rigging   Knowledge and optimization of outputs for video GIFs java and HTML   Ideal: 3D animation   Ideal Handling of tools like Articulate - RiseMostrar másMostrar menos"
