"URL","NOMBRE","DESCRIPCION","REQUERIMIENTOS","EMPRESA","PUBLICADO","TIPO CONTRATO","JORNADA","EXPERIENCIA"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-infraestructura-y-tecnologia-en-bogota-dc-6B47FEBBBE1FBA5861373E686DCF3405","Analista de Infraestructura y Tecnología","Buscas estabilidad laboral y crecimiento a nivel profesional esta es tu oportunidad nos encontramos en la búsqueda de Tecnologos y/o profesionales en sistemas con mínimo 2 años de experiencia en mantenimiento de equipos de computo manejo de redes conectividad a Internet manejo de mantenimientos locativos y de infraestructura en compañíagestión de inventarios administración de infraestructura física seguimiento y administración de maquinaria mantenimiento preventivo y correctivo. Salario: 1.500.000 + 200.000Horario: Lunes a Sábado 8:00am - 6:00pm / y Sabados: 8:00am - 1:00pm Tipo de Contrato: Termino de Indefinido. Te esperamos los días 8 y 12 Noviembre a las 8:30am. Trae: tu hoja de vida fotocopia de tu cédula certificaciones de estudio laborales y personales certificado de eps y fondo de pensión. Te esperamos para hacer parte de nuestro gran equipo de trabajo...","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 2
Edad: entre 25 y 40 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","N/D","$ 1.700.00100 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          Hoy 12:09 p. m.","Contrato a término indefinido","Tiempo Completo                                ","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-director-de-tecnologia-con-especializacion-en-bogota-dc-5FE99CA21F6B5CE061373E686DCF3405","Director de Tecnología - Con Especialización","Importante empresa requiere DIRECTOR DE TECNOLOGÍA experiencia mínima de 5 años en el cargo debe ser ESPECIALISTA    su misión consiste en revisar  la política de tecnologías de la comunicación para que sea adecuada a la necesidades de la empresa buscando la mejora tecnológica  planificar e implementar los  procesos circuitos y procedimientos de información necesarios (soporte ERP  infraestructura comunicaciones seguridad y sistemas de información) liderando al equipo de trabajo y    los diferentes proyectos generados desde el área de TIC y la empresa. Contrato Indefinido.Habilidades requeridas:• Manejo de Base de Datos• SQL• Windows ServerResponsabilidades:• Planear y aprobar los proyectos de la compañía y la metodología de desarrollo de acuerdo con las exigencias normativas y con el plan estratégico de la Compañía","Educación mínima: Postgrado / Especialización
Años de experiencia: 5
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","N/D","$ 6.500.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          9 julio","Contrato a término indefinido","Tiempo Completo                                ","5"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-cartera-tecnologia-carreras-administrativas-o-contables-en-bogota-dc-D5FEC5B4414DBAF261373E686DCF3405","Analista de cartera - tecnología carreras administrativas o contables","Reconocida empresa del sector requiere para su equipo de trabajo tecnologos en carreras administrativas o contables con conocimientos en consulta de centrales de riesgo ( Datacredito  ) con experiencia mínima de 2 años como Jefe cartera con capacidad de realizar funciones como : generar acuerdos de pago específicos con clientes deudoresControlar que en caso que el cliente se encuentre con cartera vencida (más de 90 días) efectué pago.Salario de : 877.803 + 102.854 bono + 281.750 auxilio de movilización Horario : de lunes a viernes de 7:00 am  5 :00 pm","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 1
Edad: entre 18 y 35 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Alianza Temporal S.A.S","$ 1.300.00000 (Mensual) ·                                                   Bogotá D.C.                          Bogotá D.C. ·                          Hoy 11:32 a. m.","Contrato de Obra o labor","Tiempo Completo                                ","1"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-tecnologia-telecomunicaciones-o-financiero-caucasia-en-caucasia-787B253BCD60491361373E686DCF3405","asesor comercial tecnología telecomunicaciones o financiero - caucasia","¿estas en busca de empleo?ven trabaja con nosotros.importante empresa de telecomunicaciones y tecnología  requiere para su equipo de trabajo personal  tecnicos  tecnologo en carreras ADMINISTRATIVAS O COMERCIALES  con mínimo 1 año de experiencia en ventas de tecnología  telecomunicaciones o portafolios financieros horario de lunes a sábado 2 domingos al mes salario 1191.000 mas prestaciones de ley + aux de transporte + recargos dominicales festivos + pagos de horas extras + excelentes comisionessi cumples el perfil postulate de lo contrario no tendremos en cuenta su hoja de vidatodo el proceso se hará por medio virtual asi  que por favor estar pendiente de todas llas herramientas de comunicación( teléfono  sms whatsapp correo electrónico)","Educación mínima: Universidad / Carrera técnica
Años de experiencia: 1
Edad: Hasta 51 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Eficacia","$ 1.191.00000 (Mensual) ·                                                   Caucasia                          Antioquia ·                          Hoy 11:17 a. m.","Contrato de Obra o labor","Tiempo Completo                                ","1"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comerciales-de-tecnologia-tecnicos-tecnologos-o-profesionales-no-estudiantes-disponibilidad-domingo-a-domingo-exp-ventas-en-duitama-57F5B58921C2921461373E686DCF3405","Asesor Comerciales de Tecnologia Tecnicos Tecnologos o Profesionales No estudiantes - Disponibilidad Domingo a Domingo exp ventas","Importante empresa de telecomunicaciones requiere para su equipo de trabajo Tecnico Tecnologo o Profesionales en carreras administrativas ( No estudiantes por los horarios Domingo a Domingo los cuales no son negociables).Requisitos:- Deben ser Tecnicos Tecnologos o Profesionales ( No estudiantes)- Experiencia certificada y reciente en ventas de Tecnologia o Retail en grandes superficies minima 1 año.- Disponibilidad para laborar de Domingo a Domingo  Horarios: domingo a domingoSalario:  1.250.000 básico + variable de 1.250.000 por los primeros dos meses después la comisión es sin techo por cumplimiento de indicadoresSi cuenta 100% con el perfil por favor estar pendiente de su correo electronico para ser citado es importante tener en cuenta que aveces la informacion llega a Spam; debe tener listo en formato PDF la siguiente documentacion: -          Hoja de vida actualizada-          Copia de la cedula-          Copia del diploma bachiller-          Copia del diploma técnico tecnólogo y profesional (los soportes académicos completos del nivel educativo que tenga el candidato)-          Certificados laborales de las experiencias que registren en la hoja de vida-          Todos estos documentos son obligatorios para iniciar proceso de selección y contratacion.","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 1
Edad: entre 20 y 35 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Grupo Accion Plus","$ 2.500.00000 (Mensual) ·                                                   Duitama                          Boyacá ·                          Hoy 10:55 a. m. (actualizada)","Contrato de Obra o labor","Tiempo Completo                                ","1"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comerciales-de-tecnologia-tecnicos-tecnologos-o-profesionales-no-estudiantes-disponibilidad-domingo-a-domingo-exp-ventas-en-san-andres-297BDED9534339B361373E686DCF3405","Asesor Comerciales de Tecnologia Tecnicos Tecnologos o Profesionales No estudiantes - Disponibilidad Domingo a Domingo exp ventas","Importante empresa de telecomunicaciones requiere para su equipo de trabajo Tecnico Tecnologo o Profesionales en carreras administrativas ( No estudiantes por los horarios Domingo a Domingo los cuales no son negociables).Requisitos:- Deben ser Tecnicos Tecnologos o Profesionales ( No estudiantes)- Experiencia certificada y reciente en ventas de Tecnologia o Retail en grandes superficies minima 1 año.- Disponibilidad para laborar de Domingo a Domingo  Horarios: domingo a domingoSalario:  1.250.000 básico + variable de 1.250.000 por los primeros dos meses después la comisión es sin techo por cumplimiento de indicadoresSi cuenta 100% con el perfil por favor estar pendiente de su correo electronico para ser citado es importante tener en cuenta que aveces la informacion llega a Spam; debe tener listo en formato PDF la siguiente documentacion: -          Hoja de vida actualizada-          Copia de la cedula-          Copia del diploma bachiller-          Copia del diploma técnico tecnólogo y profesional (los soportes académicos completos del nivel educativo que tenga el candidato)-          Certificados laborales de las experiencias que registren en la hoja de vida-          Todos estos documentos son obligatorios para iniciar proceso de selección y contratacion.","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 1
Edad: entre 20 y 35 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Grupo Accion Plus","$ 2.500.00000 (Mensual) ·                                                   San Andrés                          Archipiélago de San Andrés Providencia y Santa Catalina ·                          Hoy 10:55 a. m. (actualizada)","Contrato de Obra o labor","Tiempo Completo                                ","1"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comerciales-de-tecnologia-tecnicos-tecnologos-o-profesionales-no-estudiantes-disponibilidad-domingo-a-domingo-exp-ventas-en-yopal-AD784E89D6AA2EE561373E686DCF3405","Asesor Comerciales de Tecnologia Tecnicos Tecnologos o Profesionales No estudiantes - Disponibilidad Domingo a Domingo exp ventas","Importante empresa de telecomunicaciones requiere para su equipo de trabajo Tecnico Tecnologo o Profesionales en carreras administrativas ( No estudiantes por los horarios Domingo a Domingo los cuales no son negociables).Requisitos:- Deben ser Tecnicos Tecnologos o Profesionales ( No estudiantes)- Experiencia certificada y reciente en ventas de Tecnologia o Retail en grandes superficies minima 1 año.- Disponibilidad para laborar de Domingo a Domingo  Horarios: domingo a domingoSalario:  1.250.000 básico + variable de 1.250.000 por los primeros dos meses después la comisión es sin techo por cumplimiento de indicadoresSi cuenta 100% con el perfil por favor estar pendiente de su correo electronico para ser citado es importante tener en cuenta que aveces la informacion llega a Spam; debe tener listo en formato PDF la siguiente documentacion: -          Hoja de vida actualizada-          Copia de la cedula-          Copia del diploma bachiller-          Copia del diploma técnico tecnólogo y profesional (los soportes académicos completos del nivel educativo que tenga el candidato)-          Certificados laborales de las experiencias que registren en la hoja de vida-          Todos estos documentos son obligatorios para iniciar proceso de selección y contratacion.","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 1
Edad: entre 20 y 35 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Grupo Accion Plus","$ 2.500.00000 (Mensual) ·                                                   Yopal                          Casanare ·                          Hoy 10:55 a. m. (actualizada)","Contrato de Obra o labor","Tiempo Completo                                ","1"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-con-experiencia-en-tecnologia-gps-y-rastreo-en-medellin-18BE694093172F2C61373E686DCF3405","Asesor comercial con experiencia en Tecnologia GPS y rastreo","Importante empresa de tecnología especializada en el rastreo y localización de vehículos robados GPS desarrollo de software de captación de datos y de aplicaciones a la medida de sus clientes requiere para su equipo de trabajo Comercial Asesores con experiencia reciente en el sector de GPS rastreó satelital apertura de nuevos clientes. Debe tener amplios conocimientos en negociación manejo de objeciones cierre posventa. Persona responsable comprometida. Preferiblemente estudiantes en formación o profesionales titulados en Ingeniería Industrial Comercial Financiera telecomunicación Electrónica o carreras administrativas. Indispensable: Experiencia mínimo de 18 meses en mercado de GPS. Beneficios: Estabilidad laboral contrato a termino indefinido directo con la compañía prestaciones de ley y plan de bienestar. Salario: Promedio entre 2.500.000 y 4.000.000 (Básico + auxilio comercial + comisiones + bonificaciones por cumplimiento). Horario: lunes a viernes de 8:00 am a 5:30 pm y sábados medio día Lugar de puesto de trabajo: Medellín","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 2
Disponibilidad de viajar: Si
Disponibilidad de cambio de residencia: Si","N/D","Medellín                          Antioquia ·                          Hoy 10:40 a. m.","Contrato a término indefinido","Tiempo Completo","2"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-tecnologia-con-certificado-de-alturas-ipiales-en-ipiales-2F100CD59A81C18D61373E686DCF3405","asesor comercial tecnologia con certificado de alturas - Ipiales","Requerimos de manera urgente asesor comercial con experiencia en tecnología o telecomunicaciones mínima de seis meses.empleo estable con todas las prestaciones sociales salario básico garantizado y comisione.empleo fijoDEBE TENER CERTIFICADO DE TRABAJO SEGURO EN ALTURAS?","Educación mínima: Bachillerato / Educación Media
Años de experiencia: 1
Edad: entre 19 y 38 años
Disponibilidad de viajar: No
Disponibilidad de cambio de residencia: No","Eficacia","$ 1.000.00000 (Mensual) ·                                                   Ipiales                          Nariño ·                          Hoy 10:39 a. m.","Contrato de Obra o labor","Tiempo Completo                                ","1"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-auxiliar-de-sistemas-auxiliar-en-area-de-tecnologia-e-informacion-en-bucaramanga-5763CAC82945524661373E686DCF3405","Auxiliar de sistemas - Auxiliar en area de tecnologia e informacion","PERSONA PRO ACTIVA CON EXPERIENCIA EN MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS DE COMPUTO PERIFÉRICOS REDES. CONOCIMIENTO BÁSICO EN CUALQUIER LENGUAJE DE PROGRAMACIÓN Y MOTORES DE BASES DE DATOS. (TECNOLOGO O ESTUDIANTE)","Educación mínima: Universidad / Carrera tecnológica
Años de experiencia: 1
Idiomas: Español 
Edad: entre 19 y 26 años
Conocimientos: Windows SQL Server JavaScript
Disponibilidad de viajar: Si
Disponibilidad de cambio de residencia: No","SISTEMAS COMERCIALES SYSCOM S.A.","Bucaramanga                          Santander ·                          Hoy 10:02 a. m.","Contrato a término fijo","Tiempo Completo","1"
