"URL","NOMBRE","DESCRIPCION"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-experto-en-mercadeo-digital-en-bogota-dc-C691E5280E9D838A61373E686DCF3405","Experto en Mercadeo Digital","Buscamos EXPERTO EN MERCADEO DIGITAL con experiencia comprobada en:-Google ads.-Google analytics.-Campañas de email. -Facebook ads. IMPORTANTE: Debe conocer y manejar plataformas como Segment, Amplitude, FullStory, Hubspot. Interesados enviar su HV incluyendo referencias comprobables de sus conocimientos. Por favor no aplique si no tiene los conocimientos necesarios."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-web-uiux-en-barranquilla-95ABE25BE2E7CDA361373E686DCF3405","Diseñador Web UIUX","Estamos buscando a los mejores diseñadores Web y diseñadores graficos para el equipo de diseño con habilidades y pasión por Páginas Web, CSS UI UX,  INDISPENSABLE enviar portafolio adjunto,  disponibilidad de tiempo inmediata. Buscamos super buena energía con buen gusto y valores. SU HOJA DE VIDA NO SERÁ TENIDA EN CUENTA SI NO ENVÍAN PORTAFOLIOINDISPENSABLE CONOCIMIENTOS EN WORDPRESS Y CSS o si es para grafico Adobe suite"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-marketing-estrategico-digital-en-bucaramanga-432FAACE74939DE861373E686DCF3405","Diseñador Gráfico - Marketing estratégico digital","Empresa comercial requiere Diseñador Gráfico, con mínimo 3 años de experiencia laboral continua y certificable con las siguientes características:Conocimientos en marketing estratégico digital , manejo de c1ampañas SEO/SEM , Diseño gráfico publicitario, manejo de software de diseño , experiencia certificable en manejo de páginas web. Experiencia pautando en Google Adds y de medición en Google Analytics, experiencia en creación de vídeosInteresados que cumplan con el perfil, aplicar a la oferta por este medio."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-digital-en-medellin-7990C9A832D7B4E061373E686DCF3405","Diseñador Gráfico Digital","Buscamos Diseñador Gráfico Digital proactivo, con buena energía, de 2 a 3 años de experiencia, manejo avanzado de la suite de Adobe, experiencia en manejo digital de marcas y diseño para redes sociales, excelente línea gráfica y nivel estético. Conocimientos requeridos:- Illustrator.- Photoshop.- Animaciones (After effects).- Comunicación digital.Habilidades personales:- Proactivo.- Autodidacta.- Buen trabajo en equipo.Experiencia: 2 a 3 añosRequisito: adjuntar portafolio"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-creativa-digital-en-medellin-70727408842A562861373E686DCF3405","Creativa digital","Profesional en diseño, comunicación gráfica o publicidad encargada de liderar la estrategia digital para el posicionamiento de los proyectos y la atracción de clientes potenciales. Entre sus funciones están el diseño, la construcción de textos, la definición de estrategias, la administración de redes y el trabajo conjunto con el área de mercadeo y ventas de la compañía."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-marketing-digital-en-bogota-dc-7341B867AB5BDFB161373E686DCF3405","Marketing Digital","Importante empresa Textil esta en búsqueda de personal  que tenga conocimientos en  Marketing Digital con experiencia en redes, que cuente con 1 año de experiencia en el cargo. Debe manejar programas como adobe illustrator, photoshop, suite adobe, google adword, facebook ads, manejo de estrategias en redes y conocimientos de Excel.  de lunes a viernes de 8 am a 5: 30 Pm y los sábados medio día.  Salario: 1.200.000 con prestaciones."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-grafico-y-marketing-digital-con-experiencia-en-traduccion-de-ingles-a-espanol-en-bogota-dc-5193859BD52F862F61373E686DCF3405","Diseñador/a gráfico y Marketing Digital - con experiencia en traducción de ingles a español","Profesional en Diseño Gráfico con experiencia de 3 a 4 años en: Diseño editorial, diseño comercial y realización de material POP. Indispensable manejo de programas: COREL DRAW, ADOBE PHOTOSHOP y Conocimientos de MARKETING DIGITAL. con muy buen manejo técnico, tipográfico,de redacción y revisión de textos, traducción de Ingles a Español, de fotografía y edición fotográfica. Debe tener capacidad para realizar seguimiento de estas labores y labores de seguimiento a la impresión, .Objetivo del cargo: Desarrollo de labores adecuadas para la comunicación de piezas gráficas y material P.O.P, como complemento esencial manejo de Redes Sociales (Marketing Digital). Utilizando elementos gráficos que expresen los atributos de los productos, servicios o de la campaña a comunicar, garantizando la estética y armonía en el diseño siempre ligados al manual de imagen corporativa."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-publicista-junior-e-commerce-careers-con-experiencia-en-digital-y-diseno-en-medellin-4FEBD9D8F75E013861373E686DCF3405","Publicista junior e commerce Careers - Con experiencia en digital y diseño","Buscamos persona empoderada, apasionada por el diseño y la publicidad, con excelente manejo de las herramientas de diseño. Importante tener experiencia en creación de piezas y redes sociales. La empresa va hacer todo el desarrollo digital de la organización con diferentes proveedores y estamos buscando la persona In-House que capture todo ese desarrollo y proyecte la marca en los entornos digitales  (posicionamiento de marca y e-commerce) Se busca una persona dinámica y que este dispuesta a co-crear con la organización y los proveedores el area de marketing y publicidad. Se valora:-Buena comunicación oral -Autodidacta-Enfocada a resultados-Habilidades gráficas-Conocimiento en Planificación y ejecución de campañasImportante que le guste la alimentación saludable y los deportes."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-digital-comercial-tecnico-diseno-grafico-en-cali-47C062DE500E623A61373E686DCF3405","Asesor Digital  Comercial - Técnico Diseño Gráfico","Empresa de Tecnología  requiere Ejecutiva Comercial Experiencia 2 años en ventas externas, SOLO MUJERES técnico/tecnólogo en mercadeo, administración de contenidos en RRSS, direccionamiento de estrategias de marketing digital y comercialización de productos mediante plataformas WEB. Conocimientos específicos: creación de campañas en redes sociales, LinkedIn, Google ads. diseño de imágenes.FUNCIONES:Agendamiento de visitas semanales, apertura de nuevos clientes visitando clientes pyme, empresas del sector, servicio de Post-Venta, apertura de mercados, intermediarios y cierre de ventas. Garantizar las ventas del portafolio de la empresa a través de canales digitales como redes sociales, página web, tele mercadeo, emailing, agendar citas a empresasSalario: Mínimo + bonificaciones sin techo (Promedio salario + bonificaciones $1.900.000) + prestaciones de leyaplicar solo mujeres"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-full-stack-web-developer-en-bogota-dc-E470BC252F2BB6BA61373E686DCF3405","Full Stack Web Developer","Empresa de diseño requiere Desarrollador Web, con manejo y experiencia en:• Javascript - html - CSS - C# - .net (core)Deseable :• Conocimiento en React y experiencia con motores gráficos y Desarrollo• Adjuntar portafolio si lo tiene disponible y tener disponibilidad para una pruebaEl contrato será por prestación de servicios a tres meses, esto quiere decir que el aspirante deberá pagar seguridad social como independiente. Superado este periodo y dependiendo de las capacidades del aspirante se hará un contrato laboral a termino fijo que incluye prestaciones de ley.Sueldo: A convenirRango Salarial : $3.000.000 a $5.000.000"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-diseno-en-medellin-4A7F0628F5C72FB961373E686DCF3405","Ingeniero de diseño","Empresa de Ingeniería y Diseño Digital requiere para su equipo de trabajo ingeniero en diseño de sistemas de seguridad electrónica, cableado estructurado, automatización y/o domótica experiencia minina de un año, aplica práctica.Contrato termino indefinido después de 3 meses de periodo de prueba.Estudios: Ingeniería electrónica, mecatrónica, control o telecomunicacionesSalario: $2.100.000 Horario: A convenir Habilidades: buena redacción, aprendizaje constante, buena comunicación escrita y verbal, trabajo en equipo y liderazgo.Conocimientos en: Ofimática. MS Word, Excel, PowerPoint, Outlook, SharePoint y Visio Software adicional: AutoCAD/REVIT básicoNivel de inglés: Medio, debe saber leer manuales y guías en inglés."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-programador-junior-ingles-avanzado-en-bogota-dc-2283257D592C2BC561373E686DCF3405","Programador Junior - Ingles Avanzado","Empresa de diseño requiere programador, con manejo y experiencia en:•	Nociones de programación orientada a objetos: C++ y/o C# •	Inglés 70%Deseable•	Conocimientos de Html5 y Java ScriptEl contrato será por Prestación de Servicios a tres  meses, esto quiere decir, que el aspirante deberá pagar Seguridad social con base de cotización en el salario mínimo legal vigente. Superado este periodo y dependiendo de las capacidades del aspirante se hará un contrato laboral a termino fijo que incluye prestaciones de ley.El pago durante el periodo de Prestación de servicios será de $1.850.000 pesos colombianos"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-digital-con-experiencia-en-videos-digitales-redes-sociales-y-ventas-para-proyecto-en-medellin-617D9B8BB307D28D61373E686DCF3405","Diseñador Digital con experiencia en videos digitales redes sociales y ventas - para proyecto","para trabajar por horas solicito diseñador digital con experiencia en vídeos digitales, redes sociales y ventas para un proyecto. los interesados favor enviar hoja actualizada."
