"URL","NOMBRE","DESCRIPCION"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-publicista-junior-e-commerce-careers-con-experiencia-en-digital-y-diseno-en-medellin-4FEBD9D8F75E013861373E686DCF3405","Publicista junior e commerce Careers - Con experiencia en digital y diseño","Buscamos persona empoderada, apasionada por el diseño y la publicidad, con excelente manejo de las herramientas de diseño. Importante tener experiencia en creación de piezas y redes sociales. La empresa va hacer todo el desarrollo digital de la organización con diferentes proveedores y estamos buscando la persona In-House que capture todo ese desarrollo y proyecte la marca en los entornos digitales  (posicionamiento de marca y e-commerce) Se busca una persona dinámica y que este dispuesta a co-crear con la organización y los proveedores el area de marketing y publicidad. Se valora:-Buena comunicación oral -Autodidacta-Enfocada a resultados-Habilidades gráficas-Conocimiento en Planificación y ejecución de campañasImportante que le guste la alimentación saludable y los deportes."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-con-experiencia-ecommerce-diseno-digital-bogota-en-bogota-dc-ABFE59829976DA7061373E686DCF3405","Diseñador gráfico con experiencia E-Commerce/ Diseño digital /Bogotá","Importante empresa del sector comercial y te tecnología, requiere de manera urgente para su equipo  tecnologo o profesional en diseño gráfico  y/o áreas a fines con experiencia mínima y reciente de 2 años como diseñador Gráfico con énfasis web,  .com y e-commerce.Horario: Lunes a viernes , horario de oficinaSalario: $ $1.800.000 + prestaciones de ley + comisión"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-medio-tiempo-marketing-digital-adwords-seo-landing-page-en-bucaramanga-C44ADE24896B02E161373E686DCF3405","Diseñador gráfico/ Medio tiempo - Marketing digital (Adwords SEO landing page).","Importante laboratorio de la ciudad requiere en su equipo de trabajo DISEÑADOR GRÁFICO. Indispensable: haber laborado en marketing digital y contar contar con experiencia en : Adwords, SEO, landing page, mínimo de dos años. Horario: de lunes a sábado, de 8:00 am - 1:00 pm.Disponibilidad de tiempo, facilidad para comunicarse."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-marketing-estrategico-digital-en-bucaramanga-432FAACE74939DE861373E686DCF3405","Diseñador Gráfico - Marketing estratégico digital","Empresa comercial requiere Diseñador Gráfico, con mínimo 3 años de experiencia laboral continua y certificable con las siguientes características:Conocimientos en marketing estratégico digital , manejo de c1ampañas SEO/SEM , Diseño gráfico publicitario, manejo de software de diseño , experiencia certificable en manejo de páginas web. Experiencia pautando en Google Adds y de medición en Google Analytics, experiencia en creación de vídeosInteresados que cumplan con el perfil, aplicar a la oferta por este medio."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-de-sistemas-con-especializacion-diseno-de-proyectos-exp-politica-de-gobierno-digital-en-bogota-dc-C6A9F31A0190868561373E686DCF3405","Ingeniero de sistemas con especialización Diseño de proyectos - Exp  Política de Gobierno Digital",""En Jobandtalent empleamos a más de 15.000 profesionales en toda Colombia y ofrecemos oportunidades de empleo de forma constante para que siempre tengas un empleo a tu disposición. En este momento, estamos contratando PROFESIONAL VII POLITICA DE GOBIERNO DIGITAL DIRECCION DE RELACIONAMIENTO TI CON EL NEGOCIO.FUNCIONESApoyar la conceptualización, planeación estratégica y estructuración de Instrumentos de Planeación Estratégica de TI y su implementación.Participar en los comités, actvidades y demás instancias de reunión y/o participación en los que se definan proyectos relacionados con el Plan Estratégico de TI cuando el Supervisor así lo establezca.Apoyar la implementación de los mecanismos. herramientas y metodologias de gestión, estructuración, control e implementación de proyectos y contratos relacionados con Instrumentos de Planeación Estratégica de TI de Política de Gobierno Digital.Acompañar la ejecución de actividades y el seguimiento a las metas e indicadores relacionados con el proyecto.Las demás actvidades inherentes que le sean asignadas.REQUISITOSEs necesario la contratación de un profesional que tenga conocimiento y experiencia en el diseño e implementación de Planes Estratégicos de Tecnologías en: Política de Gobierno DigitalProfesional con título de Formación Avanzada o Posgrado con 48 meses de experiencia laboral""Ingeniería de sistemas, Ingenieria electrónica o Ingenieria telemáticaPosgrado en alguna de las siguientes áreas ciencia, tecnología e innovación, o gestión social de tecnología, o tecnologías de la información y las comunicacionesConocimiento técnico y funcional relacionado con el marco normativo (Ley 1437 de 2011 """"Código de Procedimiento Administrativo y de lo Contensioso Administrativo"""" el Decreto 620 de 2020 """"Servicios Ciudadanos Digitales, Ley 594 de 2000 """"Ley General de Archivos"""", Decreto 1008 de 2018 de Política Digital.Servicios Ciudadanos Digitales, Política de Gobierno Digital, Uso y aprovechamiento de datos,Modelo de Seguridad y Privacidad de la Información, Sede electrónica y Gov.co,Marco de arquitectura empresarial para la gestión de TIDiseño de proyectos TIC para el Estado y TIC para la Sociedad.""CONDICIONESSALARIO: $ 7,293,618 HORARIO DE OFICINA"107507"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-experto-en-marketing-digital-ingles-avanzado-es-un-plus-gramatica-en-pereira-B308F9AA7ADCCE3361373E686DCF3405","Experto en Marketing Digital - Ingles Avanzado es un plus (Gramatica)","Buscamos Experto en Marketing Digital con experiencia mínima de 2 años de cualquier profesión, que se encargue de desarrollar e implementar nuestra estrategia de Mercadeo en Internet. Diseñar e implementar campañas de Facebook, Instagram, Google, Youtube y otros canales digitales. Realizar medición y reportes de resultados de las campañas con Google Analytics. Email marketing y automatización, diseño e implementación de tareas SEO planeación de contenido para Blog. Manejo de redes sociales Facebook e Instagram. Seguimiento y fidelización de clientes, búsqueda de convenios, entre otros.PROGRAMAS Y PLATAFORMAS QUE SE REQUIEREN EN EL CARGOÁrea digitalFacebook BusinessInstagram para empresasAnalitycsGoogle AdsWordpressYou tube TagsMail ChimpSoftware envios SMS WhatsappWhatsapp BusinessSales manager LinkedInÁrea gráficaIlustratorPhotoshopRequisitosProfesional graduadoConocimientos necesarios Inbound Marketing SEM SEO SMM Social Media Blog.Experiencia mínima de 2 años en el manejo de pauta digital y estrategias de ADS Facebook, Instagram, Google google analytics google ads y Youtube.Conocimiento en mercadeo con visión comercial y estratégica.Manejo de Excel, nivel intermedio Alto.Compensación A convenir de acuerdo a experiencia"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-digital-en-medellin-7990C9A832D7B4E061373E686DCF3405","Diseñador Gráfico Digital","Buscamos Diseñador Gráfico Digital proactivo, con buena energía, de 2 a 3 años de experiencia, manejo avanzado de la suite de Adobe, experiencia en manejo digital de marcas y diseño para redes sociales, excelente línea gráfica y nivel estético. Conocimientos requeridos:- Illustrator.- Photoshop.- Animaciones (After effects).- Comunicación digital.Habilidades personales:- Proactivo.- Autodidacta.- Buen trabajo en equipo.Experiencia: 2 a 3 añosRequisito: adjuntar portafolio"
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-diseno-digital-y-de-interfaces-en-bucaramanga-43C51ECE6000CE6F61373E686DCF3405","Diseñador Gráfico - Diseño Digital y de Interfaces","Para nuestra Marca LOLA - Agencia Digital estamos buscando: Diseñador(a) Gráfico(a) con experiencia comprobable en diseño de piezas digitales, diseño de interfaces para Apps móviles, Plataformas Web, Software y demás. Diseñar wireframes, recibir comentarios o aclaraciones y posteriormente diseñar mockups y prototipos. Profesional Creativo, loco y apasionado aunque responsable, cumplido y con capacidad de comunicar ideas y trabajar bajo presión. Dominio de todos los conceptos relacionados: Usabilidad UI / UX Work Flow Responsive Uso de software de diseño (Corel Draw - Illustrator - Adobe XD - Adobe Sketch, entre otros) Capacidad de trabajo en equipo, contacto con developers y product owners (cliente o usuario de proyecto) Es una oferta de Teletrabajo (permanente, no solo por covid) con lo cual no tenemos restricciones de movilidad física o ubicación geográfica. Envíar aspiración salarial y proyectos anteriormente desarrollados."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-lider-pre-prensa-e-impresion-digital-en-bogota-dc-B3F2EA435BD4E3E361373E686DCF3405","Líder Pre prensa e Impresión Digital","Profesional en Diseño gráfico o afines, con experiencia específica en el cargo de al menos cinco (5) años, Debe tener conocimiento en finalizado de archivos, ajuste de color, e impresión digital. Manejo de máquinas en gran formato y programas de diseño gráfico de suite adobe (ilustrator, corel draw,, photoshop). Persona muy organizada, creativa, líder. Jornada de lunes a sábado."
"https://www.computrabajo.com.co/ofertas-de-trabajo/oferta-de-trabajo-de-lider-de-imagen-y-marketing-digital-disenadora-grafico-en-medellin-F8F075B5862D6AA661373E686DCF3405","Líder de Imagen y Marketing Digital - Diseñador(a) Gráfico","En OilRed nos apasiona lo que hacemos, somos personas integras, proactivas, positivas, innovadoras, un súper equipo que ha aprendido que juntos logramos todo lo que nos proponemos.¿Quieres ser un Talento OilRed? ¿Te apasiona el diseño y el marketing digital?  Buscamos para nuestro equipo de trabajo Líder de Imagen y Marketing DigitalRequisitos: Profesional en diseño,  con conocimientos en : Administración de sitio web, e-commerce Gestión de redes sociales (programación,pauta, indicadores y estrategia)Programas de diseño (ai, photoshop)Edición de vídeosOferta laboralModalidad TeletrabajoSalario a ConvenirContrato a termino indefinido todas las prestaciones de ley.Horario: Lunes a viernes de 7:00am a 5:00pm Sabados de 8:00am a 12:00pm"
